Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Age dependency ratio (% of working-age population),SP.POP.DPND,Barbados,BRB,81.5395256,83.0229215,84.07859025,84.83239848,85.47426846,86.07811055,86.03082548,85.67606584,85.04094844,84.18282441,83.12100446,79.85512349,77.28083504,75.14699524,73.04492983,70.82165163,69.97672614,68.67821739,67.60987962,67.29631331,67.65575284,65.48178249,63.92598614,62.62821618,61.14092902,59.34969966,58.09710624,56.47567528,54.7470945,53.28557108,52.2318225,51.52242709,51.21948414,51.16954542,51.13338773,51.01812524,51.02958392,50.97644045,50.94178898,51.01991814,51.24498663,50.62655118,50.19638002,49.88362436,49.58485481,49.28389673,49.13547999,48.97210849,48.89239917,48.97662833,49.24012801,49.09982771,49.06003384,49.08179425,49.12459816,49.18277928,49.23995175,49.36753118,49.57888035,49.88328921,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Belarus,BLR,59.36273567,60.86098345,61.8249052,62.36374483,62.69824274,62.9223848,62.71236673,62.40838051,61.91834853,61.1557062,60.13651637,58.74914622,57.4864429,56.35574011,55.33549915,54.38930763,53.76863042,52.96389984,52.05399809,51.18760514,50.4635379,49.82491624,49.36617923,49.07759093,48.90383637,48.82695267,49.18198717,49.53545806,49.87531084,50.23130747,50.60683958,51.16167925,51.62051116,51.91714722,51.96877352,51.73255537,51.01591657,50.17468922,49.20561229,48.14791065,47.06883164,46.41770542,45.7775474,45.10735583,44.36007164,43.51921294,42.88149251,42.11143161,41.36312666,40.8148027,40.56762436,40.889879,41.47276463,42.26189573,43.14865673,44.06392386,44.78042641,45.52442109,46.43666372,47.57351898,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Belgium,BEL,54.7612015,55.76312406,56.37671741,56.71818926,57.00579264,57.33978343,57.85499413,58.26311478,58.56494998,58.72373769,58.71730844,58.63298799,58.44265328,58.11194133,57.60366285,56.91847291,56.43488083,55.79125366,54.98296997,54.00536058,52.8743123,51.81229628,50.64460643,49.51347348,48.59007588,47.96792117,47.91382568,48.06749497,48.36896487,48.72302779,49.07035354,49.47158594,49.89072847,50.3230362,50.73648601,51.09891969,51.55805066,51.8962404,52.13715027,52.33252413,52.51411551,52.5496823,52.60375514,52.6524342,52.63624742,52.53465089,52.46878121,52.2773676,52.05597662,51.94256225,52.01442797,52.32871192,52.74426339,53.23690338,53.73738812,54.19360574,54.77135163,55.3290794,55.87046567,56.4082896,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Belize,BLZ,97.72771203,100.3405894,102.1505376,103.5439951,104.6603523,105.5414593,105.9886218,106.3767054,106.5546637,106.3696141,105.8010073,107.0428377,108.0367807,108.7440869,109.1408639,109.2256484,108.9858972,108.2374401,106.9440515,105.4956881,104.2636702,101.8217378,100.1294567,98.8743108,97.5543947,95.92401635,95.34133585,94.24789115,92.95137093,91.77877429,90.80328803,90.35705393,90.21907242,90.12169898,89.83076373,89.32890572,87.2750699,85.11278195,83.23067373,81.79107429,80.66563909,79.35910779,78.06930626,76.70225743,75.19213833,73.54719958,71.90391333,70.28370652,68.70735208,67.21225229,65.81427756,63.95198165,62.26752057,60.66913911,59.09146163,57.52874015,56.33354551,55.08547326,53.88456378,52.83926061,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Benin,BEN,77.15858158,78.43439613,79.67396041,80.84829166,81.84806831,82.61620611,84.2991516,85.65259915,86.73542287,87.62520256,88.36515289,89.83724075,91.00402458,91.91097705,92.60252931,93.1139575,94.212511,95.03798863,95.62967606,96.01515457,96.21962743,97.01475911,97.48936934,97.72036311,97.78816855,97.73646452,98.22562541,98.47926001,98.53581044,98.42618097,98.18096124,97.98569366,97.57319131,97.00466559,96.31381242,95.51293044,95.52609492,95.31020258,94.91562186,94.39540389,93.78366578,93.42999276,92.91308142,92.27876215,91.57102746,90.81993603,90.64111389,90.37477165,90.01169969,89.53579907,88.94983697,88.61363992,88.11038854,87.49154098,86.81142308,86.09778484,85.53458615,84.88570798,84.16643509,83.38665013,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bhutan,BTN,80.04773578,80.54878386,80.30410184,79.69995592,79.27249762,79.25782684,79.78247576,80.50377126,81.32106893,81.97108851,82.32639144,83.35961674,83.96701893,84.2671175,84.41702504,84.49073829,85.19424223,85.64438336,85.8793636,85.88926467,85.67152056,86.49933761,86.97755924,87.17821045,87.20549331,87.13536565,87.36305673,87.44529976,87.34947954,86.94450511,86.10270632,86.39398387,86.47836811,86.38530184,86.24040168,86.1762514,84.96636913,83.47123104,81.76275837,79.84258977,77.71272901,75.37783924,72.88724489,70.31638685,67.75163467,65.25350764,63.5364531,61.85537898,60.21034954,58.5959949,57.01874138,55.34557937,53.71434205,52.16896665,50.76224402,49.52597532,48.33535018,47.37146923,46.57249995,45.84311237,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bolivia,BOL,84.36897844,84.50809736,84.35307075,83.979887,83.44954526,82.79905497,82.97185907,82.89049192,82.63276574,82.27349458,81.85270593,82.12556008,82.2220285,82.18123861,82.02255426,81.7538559,82.10780333,82.25434411,82.21676986,82.00407029,81.62160033,81.82397298,81.7953145,81.61188851,81.35934063,81.08259934,80.97186977,80.80698776,80.58089956,80.26014841,79.83397785,79.70094835,79.34559789,78.84131537,78.27545766,77.68851526,77.38475574,77.01881126,76.57906295,76.03695105,75.39043879,74.88612331,74.29445924,73.64062967,72.94731547,72.2232762,71.56335829,70.81262905,70.00479685,69.18239704,68.36910883,67.55259564,66.7754539,66.00896372,65.21074463,64.36850004,63.62346387,62.81474036,61.98396703,61.19644724,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bosnia and Herzegovina,BIH,70.74497677,71.00503717,70.99685006,70.66349333,70.0382892,69.16539357,69.03869574,68.31102497,67.21483611,66.10061651,65.15068539,64.06688768,63.33823625,62.69974497,61.79775696,60.50533077,59.25999048,57.68991942,55.94119616,54.25183841,52.74227574,51.15077631,49.78390263,48.5925649,47.48138591,46.42022886,45.75090061,45.1923373,44.77599577,44.52665672,44.39388783,44.31864048,44.40091545,44.59793072,44.9170556,45.42166986,45.57537935,45.79887781,46.06567669,46.2865374,46.38558519,46.58493898,46.54754099,46.29413023,45.89260238,45.38726566,44.62119658,43.94985991,43.34968843,42.77108134,42.24078432,42.33920443,42.24707937,42.04300097,41.99513104,42.29229545,42.85635336,43.97906681,45.42609123,46.83190482,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Botswana,BWA,92.05820443,93.99311336,96.51599058,99.24606481,101.5053882,102.9721237,104.6631791,105.6886491,106.212843,106.5544634,106.9010412,107.0994409,107.0396176,106.8255129,106.5396875,106.2590943,106.2871059,106.5071249,106.9181765,107.4167228,107.8455883,107.5099026,106.9483937,106.1552917,105.1447335,103.9373382,102.3501876,100.3810152,98.10866314,95.6898924,93.24142488,91.36912577,89.55204377,87.67605823,85.57024269,83.18146907,81.2124263,78.93047681,76.51485366,74.21217078,72.14535627,70.50795687,69.14268818,67.96254152,66.84341435,65.74764702,64.97131278,64.13700817,63.31498109,62.60558761,62.03580256,62.09306871,62.32828413,62.66821563,63.00240373,63.27379701,63.05635933,62.66955742,62.17130491,61.63152847,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Brazil,BRA,86.27819049,87.0046969,87.59952682,87.97672728,88.02018303,87.68653754,87.63504472,87.05946745,86.13735981,85.07963424,83.98044895,82.94821679,81.87839101,80.74648915,79.51439242,78.19675553,77.0372677,75.87745649,74.72005914,73.57863057,72.47492148,71.79906906,71.05248931,70.2850059,69.52259725,68.75387301,68.21463719,67.5345095,66.75813542,65.93206019,65.07213901,64.09760747,63.18771957,62.25596433,61.20806658,60.0289929,58.95001006,57.77414607,56.55985471,55.38668936,54.29089661,53.44215569,52.57791745,51.72325443,50.89021847,50.07624271,49.24145144,48.45965328,47.71544605,46.99178833,46.2933004,45.65736422,45.07954965,44.56021842,44.11169781,43.74810575,43.57751289,43.45006075,43.38337979,43.3913818,..
Age dependency ratio (% of working-age population),SP.POP.DPND,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Brunei Darussalam,BRN,90.07537688,92.16188294,94.99869247,97.85100893,99.68560521,100.0547099,98.39470326,95.5991581,92.31384063,89.29184024,86.87817405,84.59141745,82.90254865,81.56389065,80.15288459,78.54688864,77.97872903,76.5983039,74.89141975,73.22142508,71.65940643,71.07948374,70.68534226,70.36132577,69.92616477,69.31624447,66.85212616,64.50478149,62.4497338,60.75410423,59.37573152,58.77304419,58.11343628,57.43316883,56.66655842,55.74216477,54.80648047,53.61486719,52.2669911,50.81926285,49.30961696,48.38408434,47.31668359,46.30079011,45.37229525,44.47544091,44.05158831,43.42735396,42.74196886,42.10635415,41.54044497,40.75064532,40.24217926,39.89836794,39.5728027,39.20344363,39.24499889,39.0119535,38.69562828,38.55277211,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bulgaria,BGR,50.75840308,50.47790179,50.00504513,49.42877538,48.90198512,48.50208539,48.27843406,48.12782924,48.05372642,48.0437438,48.09812578,48.31663372,48.55692165,48.83572416,49.16736921,49.54843474,50.14343048,50.74961444,51.26921343,51.54736995,51.50872965,51.32109369,50.76293089,50.04687843,49.47549088,49.20485825,49.20343078,49.54996779,50.03650078,50.35971601,50.36093711,50.61233384,50.47506214,50.0743613,49.63692149,49.29065305,48.96238938,48.71641004,48.48879022,48.14259364,47.61159708,47.12212296,46.5559407,45.9403815,45.35058058,44.85852555,44.91258467,44.98360001,45.15917296,45.53372549,46.14540359,47.22122327,48.40271663,49.67036988,50.95644168,52.18977143,53.24666194,54.32655136,55.32141636,56.09961806,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Burkina Faso,BFA,77.46788387,78.62635313,79.47511321,80.09515868,80.58526613,81.00191185,82.25150358,83.34597843,84.26930515,84.9660895,85.41129622,86.78777419,87.75363716,88.41937912,88.95009218,89.43840519,90.87286859,92.21354514,93.4164041,94.40321808,95.1525374,96.73431337,97.88709558,98.73133536,99.39972841,99.93420823,100.9539536,101.6753522,102.1203724,102.2844706,102.1677828,102.4088894,102.3430549,102.0039092,101.4302001,100.6664035,100.5653208,100.1724417,99.58255646,98.89388237,98.15605379,98.07380042,97.80356639,97.39285443,96.88611686,96.3161927,96.32750572,96.17547851,95.88483463,95.45755503,94.89859856,94.71653223,94.29814749,93.70963549,93.01486825,92.2404615,91.56125413,90.80387257,89.95179254,88.98271976,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Burundi,BDI,87.81571327,88.96086819,90.38495162,91.80712056,92.78753231,93.16326976,94.49427036,95.07119951,95.07713227,94.75082147,94.15353038,95.01032782,95.45109351,95.49631281,95.25860407,94.89383708,94.28195908,93.57290614,92.86670775,92.20976271,91.65226804,92.76901577,93.6833149,94.56582398,95.54885544,96.62855918,98.32947233,99.89049467,101.2200824,102.1752894,102.709788,105.779276,108.2439182,110.1224991,111.4251583,112.0940944,112.7095115,112.8486661,112.5074981,111.7896974,110.8380345,107.9356597,105.0397518,102.2251589,99.54535166,97.06054541,95.22763152,93.47541487,91.91651004,90.66559864,89.75756462,89.79058518,89.95376265,90.23473338,90.57073089,90.89992514,91.19374704,91.35918093,91.38251249,91.25118759,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Cabo Verde,CPV,89.35824762,92.163781,96.83036258,102.2442887,106.4352448,108.479683,111.4536079,112.1108512,111.4780082,110.9125697,110.7473483,110.7810995,111.8031586,113.127231,113.8927805,113.7624185,114.4707826,113.9910124,112.6132646,110.9689048,109.488911,106.3703238,103.8108827,101.8217263,100.2904885,99.13745735,99.2360696,99.52345745,99.92266902,100.5091755,101.3500792,101.5355422,101.7689529,101.8734007,101.5663405,100.6857784,99.94388895,98.53697347,96.63186997,94.48712908,92.22374357,88.97283653,85.98414551,83.02485457,79.83985947,76.40187895,73.01820274,69.4984194,66.04921645,62.95861,60.35661276,58.03035439,56.18739953,54.75251597,53.57483628,52.55797862,51.67842732,50.86534035,50.12105936,49.48760465,..
