Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.89799881,61.65499878,61.77299881,61.65399933,62.81700134,64.05799866,64.33200073,64.11199951,64.20600128,64.23799896,65.33399963,66.01200104,66.24199677,67.09400177,66.79100037,68.22599792,68.88999939,69.44999695,69.98100281,70.13800049,69.97299957,70.44400024,70.35099792,70.42299652,70.53900146,71.26799774,71.63500214,72.34300232,73.18599701,73.31300354,73.44599915
Austria,AUT,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.23300171,56.01100159,57.72100067,58.49300003,61.17200089,62.28300095,61.75799942,61.67900085,62.21699905,62.4070015,62.3370018,62.09000015,63.88399887,63.98500061,63.10300064,64.79100037,65.57099915,66.68199921,67.58300018,68.60700226,68.92199707,69.52899933,70.30999756,70.83399963,70.88999939,70.95200348,71.68199921,71.76899719,71.85600281,71.91200256,71.99099731
Azerbaijan,AZE,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.11800003,56.32300186,57.34700012,58.67499924,59.99399948,60.90499878,61.08300018,61.02099991,60.75999832,60.63299942,61.0890007,61.54100037,62.00799942,62.47299957,62.9109993,63.31600189,63.71300125,64.11199951,64.53800201,65.01599884,65.54699707,66.14499664,66.43299866,66.65599823,67.39399719,67.90200043,68.47000122,69.10199738,69.72100067,69.72699738,69.74700165
Burundi,BDI,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.83100128,91.41699982,90.93599701,90.38300323,89.76300049,89.07299805,88.37000275,87.59100342,86.72499847,86.08599854,85.39700317,84.79299927,84.19499969,83.6210022,83.08899689,82.61199951,82.1969986,81.84300232,81.55000305,81.32099915,81.15000153,81.02500153,80.94599915,80.88600159,80.80899811,81.10099792,81.33699799,81.51200104,81.62799835,81.62799835,81.58599854
Belgium,BEL,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.23099899,48.18899918,49.29199982,50.27000046,51.23199844,51.82300186,52.0870018,52.86800003,53.76200104,55.89799881,56.50299835,54.31499863,55.20800018,55.56700134,57.43099976,59.26800156,59.42499924,60.42699814,60.75299835,60.8219986,61.67699814,60.89199829,61.10800171,62.11399841,62.88499832,62.99700165,62.91799927,63.19400024,64.29799652,64.4260025,64.54599762
Benin,BEN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.74300003,58.73099899,58.72800064,59.58200073,60.42900085,61.27000046,62.09400177,62.90599823,63.70600128,64.49299622,65.26599884,66.02700043,66.77500153,67.49500275,68.14399719,68.72499847,69.23500061,69.67900085,70.06300354,70.39800262,70.69200134,69.46499634,69.52300262,69.58100128,69.65200043,69.75499725,69.84600067,69.94100189,70.04199982,70.20200348,70.36199951
Burkina Faso,BFA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.11399841,79.0739975,78.19200134,77.27700043,76.32499695,75.34100342,74.33300018,73.28800201,72.21199799,71.10600281,69.96900177,68.81300354,67.62799835,66.41899872,65.18199921,63.92100143,62.63600159,62.27999878,61.91899872,61.55599976,61.19100189,60.83599854,60.48400116,60.13299942,59.78699875,59.84199905,59.89199829,59.94100189,59.99100113,59.8390007,59.68199921
Bangladesh,BGD,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.40699959,25.51099968,25.67200089,25.88500023,26.14299965,26.44300079,26.66799927,26.93899918,27.23699951,27.53800011,27.8239994,28.01600075,28.2140007,28.4090004,28.59600067,28.78000069,28.83399963,29.39100075,29.95700073,30.52799988,31.10199928,31.6779995,32.25899887,32.84400177,33.43000031,34.01399994,34.5909996,37.95399857,38.20899963,38.38800049,38.57400131
Bulgaria,BGR,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.83999634,66.14199829,66.43699646,65.41999817,64.32499695,63.15499878,61.97900009,60.73400116,59.38199997,57.86100006,56.14300156,59.6609993,59.19100189,57.29399872,58.58399963,57.45100021,60.36000061,62.05599976,63.00899887,62.33300018,62.20100021,61.96900177,63.13700104,64.49199677,65.01599884,65.4509964,64.66999817,67.26899719,67.1969986,67.39099884,67.50900269
Bahrain,BHR,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.38599968,30.08699989,30.71899986,31.42900085,32.19800186,32.97999954,33.56299973,34.13100052,34.74499893,35.44499969,36.23099899,36.93600082,37.64799881,38.49599838,39.43600082,40.41899872,41.11100006,41.96099854,42.95999908,44.0719986,45.24200058,44.4659996,44.67900085,44.89699936,45.1269989,45.3370018,45.59799957,45.98600006,46.52000046,46.67100143,46.83200073
"Bahamas, The",BHS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.72299957,69.65200043,70.59700012,71.54199982,72.41600037,72.70500183,72.89600372,72.89399719,73.14199829,73.59899902,73.79499817,74.08799744,74.33799744,74.11499786,73.97699738,74.02899933,74.23400116,74.31600189,74.00700378,73.4940033,73.51899719,73.50800323,73.80500031,73.86599731,73.94999695,74.09600067,74.0019989,74.11799622,74.27899933,74.35399628,74.43599701
Bosnia and Herzegovina,BIH,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.04899979,39.19499969,39.23199844,39.17900085,39.10900116,38.99499893,38.98400116,39.01100159,39.01300049,38.97499847,38.98799896,39.05500031,39.14599991,39.24399948,39.30599976,37.95299911,37.86100006,38.05699921,39.55099869,40.23199844,41.54600143,41.89099884,42.0340004,43.18999863,44.27700043,44.22499847,43.78699875,44.29399872,44.33800125,44.62599945,44.84000015
Belarus,BLR,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.48999786,64.55999756,64.60199738,64.72799683,64.92700195,65.2009964,65.41500092,65.56199646,65.7559967,65.98899841,66.70400238,67.48899841,68.29299927,69.0759964,69.77700043,70.36199951,70.82099915,71.18800354,71.50700378,71.82700348,72.1760025,72.58999634,73.02799988,73.47000122,73.88700104,74.26000214,74.56300354,74.54799652,74.39700317,74.39399719,74.41400146
Belize,BLZ,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.35400009,37.08800125,37.95199966,38.22999954,37.83000183,38.0019989,38.27000046,39.23799896,40.23099899,41.27000046,42.36100006,43.45000076,44.56800079,45.69900131,46.81600189,47.9070015,47.99399948,48.08499908,48.18999863,48.31499863,48.46099854,48.66799927,48.88999939,49.13299942,49.97800064,50.88399887,52.31000137,51.41899872,51.75500107,52.06600189,52.40999985
Bermuda,BMU,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.65599823,59.00299835,59.04000092,59.35200119,59.7140007,60.08599854,60.40800095,60.79700089,61.03499985,61.25999832,61.4659996,62.09700012,62.70899963,63.3030014,63.88000107,64.43900299,64.98899841,62.68600082,64.28800201,64.54399872,64.2539978,63.95000076,60.09400177,60.64199829,62.80199814,56.09799957,58.89899826,60.81900024,65.35199738,65.16799927,64.99500275
Brazil,BRA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.59000015,44.86800003,46.30899811,47.75299835,49.19300079,50.6230011,49.54000092,50.49000168,51.42699814,52.78499985,53.87599945,54.98899841,56.48799896,56.98699951,58.23600006,59.51100159,59.28900146,59.1269989,59.10800171,59.8429985,58.53699875,57.22200012,58.31999969,58.41600037,58.48099899,59.22600174,59.40000153,60.5019989,60.89899826,61,61.10100174
Barbados,BRB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.75299835,70.95700073,71.81500244,72.94499969,73.92199707,75.13999939,76.1289978,75.20400238,75.14600372,75.07700348,75.02300262,75.0510025,75.10199738,75.15699768,75.78099823,75.76300049,75.69799805,75.58999634,75.45500183,75.3259964,75.22499847,75.32700348,73.81999969,75.18699646,74.42099762,74.31199646,75.09400177,75.1740036,75.14600372,75.10700226,75.10199738
Brunei Darussalam,BRN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.73799896,48.01599884,48.98400116,50.01399994,51.13399887,52.34899902,53.26699829,54.29800034,55.44599915,56.63999939,57.79100037,58.30199814,58.19900131,58.20199966,58.34400177,58.5870018,58.75,58.9129982,59.11600113,59.37400055,59.67599869,60.02600098,60.34899902,60.65499878,60.9620018,61.2820015,61.6230011,61.9679985,61.75699997,61.83100128,61.93600082
Bhutan,BTN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.92200089,61.51399994,61.13499832,60.75999832,60.37799835,59.98799896,60.36199951,60.88899994,61.53099823,62.27299881,63.09899902,64.07700348,65.08699799,66.0759964,66.98899841,67.79799652,68.06300354,68.33000183,68.59400177,68.84700012,65.90100098,63.34999847,64.73400116,59.39599991,56.19900131,61.16199875,61.42599869,61.5870018,61.65100098,61.93399811,62.18799973
Botswana,BWA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.78300095,49.97200012,50.18600082,50.41999817,50.67499924,50.95000076,51.16500092,51.4109993,51.75400162,51.47600174,51.20800018,52.27700043,53.36600113,54.46099854,55.54899979,56.6230011,57.70399857,58.01200104,58.32300186,58.64500046,55.79800034,59.85300064,63.69400024,67.27799988,67.43900299,67.60800171,67.80400085,68.01399994,68.21700287,68.48799896,68.75800323
Central African Republic,CAF,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.76699829,66.74700165,66.78199768,66.8030014,66.81500244,66.82299805,66.81600189,66.76300049,66.72000122,66.69499969,66.71800232,66.65499878,66.60099792,66.60099792,66.55000305,66.53700256,66.51499939,66.48799896,66.46499634,66.39700317,66.33799744,66.27100372,66.15699768,66.26999664,66.10900116,65.90200043,65.83399963,65.76399994,65.68800354,65.60800171,65.53900146
Canada,CAN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.38400269,68.53800201,67.95800018,67.83300018,67.75800323,67.78199768,67.80599976,68.22399902,69.02600098,69.73999786,70.35399628,70.71800232,72.08799744,73.25499725,73.40299988,72.98400116,73.33999634,74.18800354,74.2009964,74.25,74.2990036,74.1210022,74.26100159,74.59999847,74.16899872,74.11499786,74.38899994,74.99099731,75.13200378,75.29299927,75.45899963
Central Europe and the Baltics,CEB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.43395318,63.34825853,63.27726431,62.63357208,61.94709855,61.22395125,60.31494167,60.09903853,59.8677372,59.82516295,60.1722351,60.37412224,58.86607959,58.69825539,58.55771678,58.34817798,58.4441919,58.18448145,58.36451301,58.78776403,59.57362839,59.65672283,60.48611916,60.95286123,61.86712303,62.37754986,62.80849985,63.95489959,64.50759931,64.74245581,64.93776858
Switzerland,CHE,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.9980011,68.6210022,69.80799866,69.98000336,68.98600006,68.93199921,70.3030014,70.68299866,71.98799896,72.3769989,71.77600098,73.24500275,73.7990036,74.15599823,73.98699951,74.34100342,74.79699707,75.10199738,76.71199799,77.11100006,75.23500061,76.2519989,76.71800232,77.12000275,78.11199951,78.72599792,79.54699707,79.33499908,79.86699677,80.00099945,80.13300323
Channel Islands,CHI,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.57400131,56.52600098,56.7480011,57.28900146,58.41400146,58.42100143,58.14899826,58.61999893,59.39899826,60.44800186,60.77299881,61.03099823,61.67100143,61.9620018,61.5719986,61.89599991,62.37400055,62.52799988,62.46099854,62.3429985,62.81100082,61.65000153,62.21500015,62.84899902,63.26399994,63.90299988,64.33300018,64.40299988,64.37000275,64.41300201,64.47499847
Chile,CHL,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.82400131,36.55099869,37.56700134,38.2859993,38.89799881,39.81800079,40.59999847,41.78099823,42.16600037,42.45800018,42.42100143,41.54999924,41.47600174,43.08000183,44.93500137,46.17300034,47.04399872,48.33499908,51.07500076,51.75,52.73400116,54.70899963,55.17599869,55.6269989,56.35599899,56.57799911,57.09000015,57.94400024,58.88399887,59.29700089,59.69100189
China,CHN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.39399719,79.25900269,79.1289978,78.9960022,78.83899689,78.63999939,78.41200256,78.13500214,77.7990036,77.39499664,76.92099762,76.11199951,75.2009964,74.23899841,73.31999969,72.50700378,71.81600189,71.25499725,70.77799988,70.29499817,69.75,69.59700012,69.45899963,69.33200073,69.20800018,69.09799957,68.99199677,68.86499786,68.69799805,68.45500183,68.16000366
Cote d'Ivoire,CIV,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.92699814,48.93500137,48.96300125,49.00600052,49.05599976,49.07799911,49.02999878,49.02000046,49.01499939,48.97600174,48.9469986,48.92599869,48.90599823,48.88399887,48.85599899,48.8219986,48.80899811,48.79399872,48.77500153,48.75099945,48.72499847,48.7159996,48.70999908,48.70999908,48.72000122,48.74399948,48.79299927,48.91199875,49.0530014,49.1570015,49.27799988
Cameroon,CMR,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.98500061,79.97599792,79.95999908,79.96099854,79.90899658,79.83999634,79.76999664,79.68399811,79.59200287,79.4980011,79.41000366,79.33699799,79.26799774,79.20600128,79.14600372,79.12000275,79.13200378,79.14299774,76.73500061,74.17700195,71.48200226,71.57700348,71.6780014,71.77600098,71.86299896,71.93599701,72.0059967,72.06800079,72.11399841,71.94799805,71.77400208
"Congo, Dem. Rep.",COD,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.40000153,71.42199707,71.45800018,71.51399994,71.52100372,71.50700378,71.48600006,71.48999786,71.47399902,71.47699738,71.4980011,71.49500275,71.47100067,71.43900299,71.40599823,71.3769989,70.1210022,68.83499908,67.52100372,66.18299866,64.82099915,63.43099976,62.01599884,61.98699951,61.95600128,61.93399811,61.91699982,61.89699936,61.87200165,61.5870018,61.30099869
"Congo, Rep.",COG,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.33100128,66.31800079,66.31700134,66.35600281,66.44799805,66.52400208,66.58599854,66.70800018,66.83799744,67.02300262,67.1740036,67.29599762,67.4280014,67.58999634,67.74700165,67.88300323,68.02799988,68.22100067,68.3809967,68.53199768,68.66999817,68.73100281,68.7539978,68.75,68.70500183,68.66200256,68.66200256,68.65699768,68.625,68.53800201,68.43800354
Colombia,COL,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.39500046,53.72600174,54.19900131,54.77000046,55.38600159,55.97000122,56.25799942,56.71699905,56.93299866,56.67699814,57.09999847,57.45999908,57.90000153,59.00799942,57.27799988,56.3390007,55.37099838,54.40299988,54.98500061,58.6570015,60.04700089,61.04000092,62.57500076,62.52399826,62.63600159,63.46500015,63.18600082,63.0929985,62.55199814,62.85200119,63.17200089
Comoros,COM,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9810009,32.03499985,32.0379982,32.10499954,32.25,32.35800171,32.49000168,32.60200119,32.7519989,32.92499924,33.07600021,33.25299835,33.4620018,33.69599915,33.94800186,34.20199966,34.42900085,34.68199921,34.92499924,35.18000031,35.43399811,35.65000153,35.88199997,36.11199951,36.36999893,36.64500046,36.88100052,37.13999939,37.41899872,37.61899948,37.81399918
Cabo Verde,CPV,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00799942,45.29600143,45.60400009,45.92300034,46.23899841,46.54299927,46.79899979,47.02899933,47.23500061,47.43199921,47.63199997,47.90399933,48.18500137,48.47000122,48.75899887,49.05899811,49.49000168,49.91500092,50.32600021,50.74100113,51.18299866,51.90999985,52.70999908,53.53900146,54.35699844,55.13199997,55.9070015,56.6629982,57.17100143,57.54700089,57.89099884
Costa Rica,CRI,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.33000183,36.09199905,35.57799911,36.55799866,37.8769989,38.85100174,37.30899811,40.58200073,43.17300034,43.39500046,41.84000015,45.9620018,45.6969986,46.13600159,44.68199921,48.68500137,48.42499924,49.89699936,50.3030014,50.7859993,49.8429985,49.97600174,55.52099991,55.00400162,54.63499832,53.91799927,50.38600159,51.36199951,54.20500183,54.54100037,54.86999893
Caribbean small states,CSS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.84844246,56.49286014,57.26153356,57.96322388,58.37053621,58.07076504,57.97491572,57.29177673,56.54103974,56.21747336,55.86138124,55.8253604,55.81908412,56.31542336,56.94721592,57.66631448,57.83256743,57.63843717,57.86577347,57.54792092,57.48134281,57.59295764,58.03149608,58.85665428,58.94032437,58.93681492,60.08363489,60.5783068,60.23606037,60.45203018,60.65729805
Cuba,CUB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.93000031,41.81299973,41.84000015,41.95000076,42.04600143,42.03300095,41.69300079,41.58000183,41.73699951,41.58300018,41.65000153,41.60499954,41.79700089,42.25099945,42.65499878,44.32600021,45.99200058,47.82600021,48.61500168,49.97700119,49.72499847,50.02799988,50.01499939,49.97600174,49.89400101,50.13499832,50.18500137,50.05099869,50.09199905,50.1609993,50.16500092
